de_caseid,de_seqno,de_document_num,dp_seqno,de_date_filed,dt_text
44624,123,,124,2020-09-02,"Motions Taken Under Advisement: (29 in 3:19-cv-00848-jdp)   Motion for relief, (28 in 3:20-cv-00115-jdp)   Motion for relief.           (nln),(ps)"
43562,60,,61,2020-09-02,"Motions Taken Under Advisement: [11]   Motion For Screening/ Petition for Expedited Review.          (aom),(ps)"
45286,100,,101,2020-09-02,"Motions Taken Under Advisement: (29 in 3:19-cv-00848-jdp)   Motion for relief, (28 in 3:20-cv-00115-jdp)   Motion for relief.           (nln),(ps)"
46400,32,,33,2020-09-02,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
46367,29,,30,2020-09-03,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
46469,22,,23,2020-09-03,Motions Taken Under Advisement: [3]    Motion for Issuance of Warrant in rem.           (jls)
46368,25,,26,2020-09-03,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
46369,45,,46,2020-09-03,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
46370,44,,45,2020-09-03,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
46468,24,,25,2020-09-03,Motion Taken Under Advisement: [3]    Motion for Issuance of Warrant in rem <i></i>.           (voc)
44295,220,,221,2020-09-03,"Motions Taken Under Advisement: [58]   Motion for Assistance in Recruiting Counsel.           (aom),(ps)"
46374,32,,33,2020-09-03,"Motions Taken Under Advisement: [6]   Proposed Amended Complaint.           (aom),(ps)"
41643,188,,189,2020-09-03,"Motions Taken Under Advisement: [51]    Motion to Amend Briefing Schedule <i></i>.           (nln),(ps)"
40884,825,,826,2020-09-04,"Motions Taken Under Advisement: (50 in 3:19-cv-00427-jdp, 185 in 3:17-cv-00861-jdp, 34 in 3:20-cv-00015-jdp)   Motion Requesting Abeyance.           (aom),(ps)"
43845,192,,193,2020-09-04,"Motions Taken Under Advisement: (50 in 3:19-cv-00427-jdp, 185 in 3:17-cv-00861-jdp, 34 in 3:20-cv-00015-jdp)   Motion Requesting Abeyance.           (aom),(ps)"
45106,182,,183,2020-09-04,"Motions Taken Under Advisement: (50 in 3:19-cv-00427-jdp, 185 in 3:17-cv-00861-jdp, 34 in 3:20-cv-00015-jdp)   Motion Requesting Abeyance.           (aom),(ps)"
40192,155,,156,2020-09-04,"Motions Taken Under Advisement: [37]   MOTION FOR SUMMARY JUDGMENT.           (jef/ag),(ps)"
45720,100,,101,2020-09-04,Motions Taken Under Advisement: [16]    MOTION TO DISMISS <i></i>.           (rks)
41324,267,,268,2020-09-04,"Motions Taken Under Advisement: [71]    Motion to Stay   <i>Deadines Pending Decision on Motion for Summary Judgment</i>.           (nln),(ps)"
43638,206,,207,2020-09-04,Motions Taken Under Advisement: [56] Notice <i>Request for Expedited Hearing or Status Conference</i> by Defendant The Travelers Home and Marine Insurance Company.          (arw)
45887,31,,32,2020-09-04,Motions Taken Under Advisement: [2]  Bankruptcy Appeal Record from  Bankruptcy Court case number 19-00083.         (lak)
45786,162,,163,2020-09-04,Motions Taken Under Advisement: [55]  Joint  Stipulation for Dismissal of Claims.           (arw)
45976,127,,128,2020-09-04,Motions Taken Under Advisement: [26]  Third Party  Motion for Protective Order. (arw)
40153,2081,,2082,2020-09-04,"Motions Taken Under Advisement: (662 in 3:17-cv-00446-wmc, 1262 in 3:14-cv-00503-wmc)    Motion for Prioritized Ruling on ABS&#039;s Post-Judgment Motion Regarding the &#039;987 Patent    <i></i>.           Associated Cases: 3:17-cv-00446-wmc, 3:14-c"
40153,2081,,2082,2020-09-04,v-00503-wmc (arw)
35512,4094,,4095,2020-09-04,"Motions Taken Under Advisement: (662 in 3:17-cv-00446-wmc, 1262 in 3:14-cv-00503-wmc)    Motion for Prioritized Ruling on ABS&#039;s Post-Judgment Motion Regarding the &#039;987 Patent    <i></i>.           Associated Cases: 3:17-cv-00446-wmc, 3:14-c"
35512,4094,,4095,2020-09-04,v-00503-wmc (arw)
46511,10,,11,2020-09-04,"Motions Taken Under Advisement: [1]   Petition for Writ of Habeas Corpus - State ( Filing fee &#036; 5 receipt number 34690037484.).           (aom),(ps)"
46164,48,,49,2020-09-04,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (aom),(ps)"
45479,40,,41,2020-09-04,Motions Taken Under Advisement: [11]    MOTION TO DISMISS.           (kwf)
45967,80,,81,2020-09-04,Motions Taken Under Advisement: [14]    MOTION TO DISMISS. No reply filed.           (kwf)
44598,145,,146,2020-09-04,Motions Taken Under Advisement: [39]    Motion to Compel <i> And/Or In The Alternative Modify Protective Orders</i>.           (kwf)
46477,23,,24,2020-09-04,Motions Taken Under Advisement: [2]    Motion for Discovery. <i>Plaintiff&#039;s Motion for Leave to Serve Third-Party Subpoena Prior to a Rule 26(f) Conference</i>.           (arw)
43638,225,,226,2020-09-04,Motions Taken Under Advisement: [62]    Motion for Extension of Time <i>to Submit Proposed Jury Instructions</i>.           (arw)
36017,740,,741,2020-09-08,"Motions Taken Under Advisement: [187]    Motion for Hearing   <i>(In-Person Evidentiary Hearing)</i>.           (nln),(ps)"
44616,89,,90,2020-09-08,Motions Taken Under Advisement: [20]  Unopposed  Motion for Preliminary Approval of Settlement Agreement.           (jls)
45233,77,,78,2020-09-08,Motion Taken Under Advisement: [18]    Motion for Protective Order <i></i>.           (voc)
43755,235,,236,2020-09-08,"Motions Taken Under Advisement: [60]    MOTION FOR SUMMARY JUDGMENT <i>FOR PLAINTIFF&#039;S FAILURE TO EXHAUST ADMINISTRATIVE REMEDIES</i>.           (nln),(ps)"
40167,184,,185,2020-09-08,"Motions Taken Under Advisement: [58]   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
44330,41,,42,2020-09-08,Motion Taken Under Advisement: [6]   Motion for Order Directing Government to respond to Petitioner&#039;s 2255   re: [1]  Motion to Vacate Sentence per 28 U.S.C. 2255.           (voc)
45104,420,,421,2020-09-08,"Motions Taken Under Advisement: [96]  Motion for Extension of Time and Motion for Order Request for U.S. Marshal&#039;s Services.           (nln),(ps)"
43656,118,,119,2020-09-08,"Motions Taken Under Advisement: [29]   Motion to Stay.           (nln),(ps)"
46278,38,,39,2020-09-08,"Motions Taken Under Advisement: [4]   Amended Petition for Writ of Habeas Corpus - State.           (nln),(ps)"
46278,41,,42,2020-09-08,"Motions Taken Under Advisement: [4]   Amended Petition for Writ of Habeas Corpus - State.           (nln),(ps)"
46319,29,,30,2020-09-08,"Motions Taken Under Advisement: [3]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
45835,47,,48,2020-09-08,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
42793,104,,105,2020-09-08,"Motions Taken Under Advisement: [24]   Motion for Assistance in Recruiting Counsel.           (jef),(ps)"
43318,128,,129,2020-09-08,"Motions Taken Under Advisement: [33]   Motion to Waiver, [25]    MOTION FOR SUMMARY JUDGMENT <i>on Exhaustion Grounds</i>.           (nln),(ps)"
46148,100,,101,2020-09-08,"Motions Taken Under Advisement: [18]   Response to   [10]  Order, [19]   Response to Order [10]  Order.          (jef),(ps)"
44652,234,,235,2020-09-09,Motion Taken Under Advisement: [57]    Motion for Leave to File <i>opposition to Defendants&#039; partial motion for summary judgment</i>.           (voc)
46160,39,,40,2020-09-09,Motion Taken Under Advisement: [6]    Stipulation to dismiss Husky Energy Inc. without prejudice <i></i>.           (voc)
46161,35,,36,2020-09-09,Motion Taken Under Advisement: [6]    Stipulation to dismiss Husky Energy Inc. without prejudice <i></i>.           (voc)
45199,54,,55,2020-09-09,"Motions Taken Under Advisement: [9]  Letter to Judge Conley (unsigned) from Plaintiff Larry Petty.           (nln),(ps)"
43227,458,,459,2020-09-09,"Motions Taken Under Advisement: (45 in 3:19-cv-00367-wmc, 42 in 3:19-cv-00384-wmc, 106 in 3:19-cv-00057-wmc)   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
43742,181,,182,2020-09-09,"Motions Taken Under Advisement: (45 in 3:19-cv-00367-wmc, 42 in 3:19-cv-00384-wmc, 106 in 3:19-cv-00057-wmc)   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
43758,169,,170,2020-09-09,"Motions Taken Under Advisement: (45 in 3:19-cv-00367-wmc, 42 in 3:19-cv-00384-wmc, 106 in 3:19-cv-00057-wmc)   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
41324,279,,280,2020-09-09,"Motions Taken Under Advisement: [73]  Renewed  Motion for the Appointment of Counsel.           (nln),(ps)"
46134,56,,57,2020-09-09,"Motions Taken Under Advisement: [10]   MOTION TO DISMISS.           (nln),(ps)"
46334,27,,28,2020-09-09,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
46472,25,,26,2020-09-09,"Motions Taken Under Advisement: [4]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
44624,134,,135,2020-09-09,"Motions Taken Under Advisement: [32]   Motion, [31]  <b>Motion for Summary Judgment</b>.           (nln),(ps)"
44705,172,,173,2020-09-10,Motions Taken Under Advisement: [48]  Amended  Motion to Amend Briefing Schedule.           (jls)
46158,39,,40,2020-09-10,Motions Taken Under Advisement: [10]  STIPULATION of Dismissal <i> of the Policy</i>.           (kwf)
46530,25,,26,2020-09-10,"Motions Taken Under Advisement: [4]   Motion for Leave to Proceed in forma pauperis.           (jef),(ps)"
43850,108,,109,2020-09-10,Motion Taken Under Advisement: [28]  Second  Motion for Attorney Fees under the EAJA <i></i>.           (voc)
45818,42,,43,2020-09-10,Motion Taken Under Advisement: [11]    MOTION TO DISMISS <i></i>.           (voc)
44536,180,,181,2020-09-10,Motion Taken Under Advisement: [40]    Motion for Reconsideration <i></i>   re [36]  Order on Motion for Sanctions.           (voc)
40642,120,,121,2020-09-10,"Motions Taken Under Advisement: [23]   Motion for Assistance in Recruiting Counsel.           (nln),(ps)"
41344,198,,199,2020-09-10,"Motions Taken Under Advisement: [55]    Motion to Stay   <i>Deadline to Complete Discovery, File Final Pretrial Submissions and Disclosures on September 18, 2020 Pending Court&#039;s Ruling on the Defendants&#039; Motion for Summary Judgment</i>.    "
41344,198,,199,2020-09-10,"       (nln),(ps)"
45105,234,,235,2020-09-10,"Motions Taken Under Advisement: [49]   Motion for Seeking Relief, [55]   Motion for Reconsideration   re [41]  Order on Motion for Leave to File,,, Order on Motion for Miscellaneous Relief,,, Order on Motion to Amend Complaint,,, Order on Motion to D"
45105,234,,235,2020-09-10,"ismiss,,,,,, Order on Motion for Entry of Default,,.           (nln),(ps)"
45882,45,,46,2020-09-10,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (rks),(ps)"
46556,14,,15,2020-09-10,"Motions Taken Under Advisement:  Motion for In Forma Pauperis Screening.           (rks),(ps)"
40192,170,,171,2020-09-10,"Motions Taken Under Advisement: [25]    MOTION FOR SUMMARY JUDGMENT <i></i>.           (nln),(ps)"
42059,348,,349,2020-09-10,"Motions Taken Under Advisement: [70]   Motion for Leave to Proceed in forma pauperis on Appeal.           (nln),(ps)"
43881,764,,765,2020-09-10,"Motion Taken Under Advisement: [230]    Motion to Amend/Correct  [229]  Judgment,    <i></i>.           (voc)"
43191,71,,72,2020-09-10,"Motions Taken Under Advisement: [18]  Motion regarding access to law library.           (nln),(ps)"
42169,92,,93,2020-09-11,Motions Taken Under Advisement: [25]  Corrected  Motion for Attorney Fees. Response stating no opposition filed.           (kwf)
39456,241,,242,2020-09-11,"Motions Taken Under Advisement: [65]    Motion to Stay   <i>Deadlines Pending Decision on on Motion for Summary Judgment</i>.           (nln),(ps)"
44970,132,,133,2020-09-11,"Motions Taken Under Advisement: [35]  STIPULATION of Dismissal <i>as to Defendants James Wohling, Ernest Ziemer, City of Hayward, and City of Hayward Police Department with Prejudice</i>.           (kwf)"
44574,301,,302,2020-09-11,"Motions Taken Under Advisement: [82]   Motion to Appoint Expert.           (nln),(ps)"
40768,94,,95,2018-07-23,Motions Taken Under Advisement: [27]    Stipulation for Attorney Fees Pursuant to the EAJA.           (jls)
41697,147,,148,2020-09-11,"Motions Taken Under Advisement: [38]   Motion for Service by U.S. Marshal Service.           (jef),(ps)"
45590,52,,53,2020-09-11,"Motions Taken Under Advisement: [10]   MOTION TO TRANSFER to Eastern District of Wisconsin.           (jef),(ps)"
41696,327,,328,2020-09-11,"Motions Taken Under Advisement: [56]   Motion to Take Deposition  from Defendants (No reply filed by 9/8/20 deadline), [84]   Motion to Supplement.           (nln),(ps)"
42650,352,,353,2020-09-11,"Motions Taken Under Advisement: (92 in 3:18-cv-00831-jdp, 27 in 3:20-cv-00083-jdp)   Motion for Letter regarding claim that &#036;50 be put back in account and regarding the &#036;27.38 taken from inmate account.           (jef),(ps)"
45207,99,,100,2020-09-11,"Motions Taken Under Advisement: (92 in 3:18-cv-00831-jdp, 27 in 3:20-cv-00083-jdp)   Motion for Letter regarding claim that &#036;50 be put back in account and regarding the &#036;27.38 taken from inmate account.           (jef),(ps)"
41091,228,,229,2020-09-11,"Motions Taken Under Advisement: [63]    Motion to Stay   <i>Case Deadlines</i>.           (nln),(ps)"
39141,566,,567,2020-09-11,"Motions Taken Under Advisement: [163]   Response to Order [162]  Order on Motion for Reconsideration,.           (jef),(ps)"
42650,357,,358,2020-09-11,"Motions Taken Under Advisement: (93 in 3:18-cv-00831-jdp, 28 in 3:20-cv-00083-jdp)   Motion for Assistance in Recruiting Counsel.           (jef),(ps)"
45207,104,,105,2020-09-11,"Motions Taken Under Advisement: (93 in 3:18-cv-00831-jdp, 28 in 3:20-cv-00083-jdp)   Motion for Assistance in Recruiting Counsel.           (jef),(ps)"
43638,262,,263,2020-09-14,Motions Taken Under Advisement: [60]  Motion for Leave to File Amended Complaint. No response filed.           (arw)
43727,81,,82,2020-09-14,"Motions Taken Under Advisement: [21]   Motion for Change of Venue.           (aom),(ps)"
45229,68,,69,2020-09-14,"Motions Taken Under Advisement: [15]  Emergency Motion for Misc. Relief.           (aom),(ps)"
36017,760,,761,2020-09-14,"Motions Taken Under Advisement: [193]  Joint Response to [188] Order, [189]  Response to [188] Order.           (nln),(ps)"
41464,395,,396,2020-09-14,"Motions Taken Under Advisement: [100]  Joint Response to [96] Order.           (nln),(ps)"
37060,1076,,1077,2020-09-14,"Motions Taken Under Advisement: (349 in 3:15-cv-00428-wmc)    Motion for Leave to File <i>SUPPLEMENTAL AUTHORITY IN OPPOSITION TO DEFENDANT POLK COUNTY&#039;S MOTION FOR A STAY OF JUDGMENT</i>.           Associated Cases: 3:15-cv-00433-wmc, 3:15-cv-0"
37060,1076,,1077,2020-09-14,0428-wmc (jls)
37061,1073,,1074,2020-09-14,"Motions Taken Under Advisement: (349 in 3:15-cv-00428-wmc)    Motion for Leave to File <i>SUPPLEMENTAL AUTHORITY IN OPPOSITION TO DEFENDANT POLK COUNTY&#039;S MOTION FOR A STAY OF JUDGMENT</i>.           Associated Cases: 3:15-cv-00433-wmc, 3:15-cv-0"
37061,1073,,1074,2020-09-14,0428-wmc (jls)
44446,132,,133,2020-09-14,Motions Taken Under Advisement: [33]  Brief in Support of Motion to Continue.           (jls)
43114,80,,81,2020-09-14,"Motions Taken Under Advisement: [22]   Proposed Amended Complaint.           (aom),(ps)"
37061,1076,,1077,2020-09-14,"Motions Taken Under Advisement: (351 in 3:15-cv-00433-wmc, 349 in 3:15-cv-00428-wmc)    Motion for Leave to File <i>SUPPLEMENTAL AUTHORITY IN OPPOSITION TO DEFENDANT POLK COUNTY&#039;S MOTION FOR A STAY OF JUDGMENT</i>.           Associated Cases: 3:"
37061,1076,,1077,2020-09-14,"15-cv-00428-wmc, 3:15-cv-00433-wmc.  (kwf)"
37060,1078,,1079,2020-09-14,"Motions Taken Under Advisement: (351 in 3:15-cv-00433-wmc, 349 in 3:15-cv-00428-wmc)    Motion for Leave to File <i>SUPPLEMENTAL AUTHORITY IN OPPOSITION TO DEFENDANT POLK COUNTY&#039;S MOTION FOR A STAY OF JUDGMENT</i>.           Associated Cases: 3:"
37060,1078,,1079,2020-09-14,"15-cv-00428-wmc, 3:15-cv-00433-wmc.  (kwf)"
44681,91,,92,2020-09-14,"Motions Taken Under Advisement: [20]   Motion to Voluntarily Dismiss.           (nln),(ps)"
46368,35,,36,2020-09-14,"Motions Taken Under Advisement: [6]   Motion to Amend  [1]  Complaint.           (aom),(ps)"
46458,23,,24,2020-09-14,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
46314,43,,44,2020-09-14,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis, [9]   Proposed Amended Complaint.           (nln),(ps)"
40141,193,,194,2020-09-15,"Motions Taken Under Advisement: [34]    MOTION FOR SUMMARY JUDGMENT <i></i>. No Brief in Opposition filed by 9/8/20 Deadline.          (nln),(ps)"
45569,59,,60,2020-09-15,Motions Taken Under Advisement: [11]   Motion for Extension of Time.           (jls)
43758,188,,189,2020-09-15,"Motions Taken Under Advisement: (28 in 3:19-cv-00384-wmc, 31 in 3:19-cv-00367-wmc)    MOTION FOR SUMMARY JUDGMENT <i>on Exhaustion Grounds</i>.           Associated Cases: 3:19-cv-00384-wmc, 3:19-cv-00367-wmc (nln),(ps)"
43742,200,,201,2020-09-15,"Motions Taken Under Advisement: (28 in 3:19-cv-00384-wmc, 31 in 3:19-cv-00367-wmc)    MOTION FOR SUMMARY JUDGMENT <i>on Exhaustion Grounds</i>.           Associated Cases: 3:19-cv-00384-wmc, 3:19-cv-00367-wmc (nln),(ps)"
45147,156,,157,2020-09-15,Motions Taken Under Advisement: [36] Motion for Protective Order by Defendant Baraboo School District.           (arw)
43926,196,,197,2020-09-15,"Motions Taken Under Advisement: [49] Motion for Writ of Execution, [51]    Motion to Stay Pending Appeal.           (arw)"
45575,52,,53,2020-09-15,Motions Taken Under Advisement: [11]  Unopposed  Motion for Extension of Time <i>to Finalize Settlement Agreement and Dismissal</i>.           (arw)
43340,287,,288,2020-09-15,"Motions Taken Under Advisement: [73]   Motion for Leave to Proceed in forma pauperis on Appeal.           (jef),(ps)"
41033,339,,340,2020-09-16,"Motions Taken Under Advisement: [95]    Motion to Amend/Correct   <i>Exhibit List to Add Photographs of the Vent in the Observation Cell</i>.           (nln),(ps)"
41696,335,,336,2020-09-16,"Motions Taken Under Advisement: [85]   Motion for Assistance in Recruiting Counsel.           (aom),(ps)"
43638,275,,276,2020-09-16,Motions Taken Under Advisement: [55] Motion to Strike. No reply filed.          (arw)
46449,25,,26,2020-09-16,Motions Taken Under Advisement: [3]  ORDER Regarding Jurisdiction.         (kwf)
39141,578,,579,2020-09-16,"Motions Taken Under Advisement: [164]  Letter   from Plaintiff Dessie Russell Lonas re: [162]  Order; and requesting appointment of counsel.           (nln),(ps)"
42761,601,,602,2020-09-16,"Motions Taken Under Advisement: [146]    MOTION TO DISMISS <i>for Failure to Comply with Order</i>.           (nln),(ps)"
42176,384,,385,2020-09-16,"Motions Taken Under Advisement: [94]  Motion to hold in abeyance decision on [47], [70] motions for summary judgment. Brief in Reply not filed.           (rks),(ps)"
46510,25,,26,2020-09-16,"Motions Taken Under Advisement:  PRLA Screening.           (jef),(ps)"
46565,28,,29,2020-09-17,Motion Taken Under Advisement: [4]  Unopposed  Motion for Extension of Time <i>to Answer Or Otherwise Respond To Plaintiff&#039;s Complaint</i>.           (voc)
41696,353,,354,2020-09-17,"Motions Taken Under Advisement: [58]    MOTION TO DISMISS <i>in Part and for Summary Judgment</i>.           (nln),(ps)"
41596,261,,262,2020-09-17,"Motions Taken Under Advisement: [73]   Motion for Assistance in Recruiting Counsel.           (jef),(ps)"
45348,68,,69,2020-09-17,"Motions Taken Under Advisement: [19]   MOTION FOR SUMMARY JUDGMENT.           (aom),(ps)"
45286,109,,110,2020-09-17,"Motions Taken Under Advisement: [30]   MOTION FOR SUMMARY JUDGMENT.           (aom),(ps)"
44438,212,,213,2020-09-17,"Motions Taken Under Advisement: (20 in 3:20-cv-00199-jdp, 55 in 3:19-cv-00757-jdp)   Motion for Assistance in Recruiting Counsel.           (aom),(ps)"
45466,87,,88,2020-09-17,"Motions Taken Under Advisement: (20 in 3:20-cv-00199-jdp, 55 in 3:19-cv-00757-jdp)   Motion for Assistance in Recruiting Counsel.           (aom),(ps)"
44183,182,,183,2020-09-17,"Motions Taken Under Advisement: [35]    MOTION FOR SUMMARY JUDGMENT <i>(Dr. Fern Springs)</i>.           (nln),(ps)"
44454,193,,194,2020-09-18,"Motions Taken Under Advisement: [43]    MOTION TO DISMISS <i>McWilliams and Roberts Police Dept</i>.           (nln),(ps)"
46524,28,,29,2020-09-18,"Motions Taken Under Advisement: [7]   Motion to Add Defendant and Motion to Amend Complaint.           (aom),(ps)"
39964,272,,273,2020-09-18,"Motions Taken Under Advisement: [51]  Joint  Motion to Stay   <i>Case Deadlines</i>.           (nln),(ps)"
36875,679,,680,2020-09-18,"Motions Taken Under Advisement: [161]   Motion for Writ of Habeas Corpus ad testificandum, [162]   Motion in Limine, [155]    Motion in Limine <i></i>.           (nln),(ps)"
44819,61,,62,2020-09-18,"Motions Taken Under Advisement: [10] Order. No response filed by 8/31/2020 deadline.          (rks),(ps)"
46491,24,,25,2020-09-21,Motions Taken Under Advisement: [3]  ORDER Regarding Jurisdiction.           (kwf)
42761,609,,610,2020-09-21,"Motions Taken Under Advisement: [149]    Motion to Quash <i></i>.           (nln),(ps)"
42444,179,,180,2020-09-21,Motions Taken Under Advisement: [46]  Motion to Amend/Correct.           (jls)
45568,93,,94,2020-09-21,Motion Taken Under Advisement: [22]    Motion to Withdraw as Attorney <i></i>.           (voc)
42604,211,,212,2020-09-21,Motions Taken Under Advisement: [60]  Joint  Motion to Enter Consent Decree <i></i>.           (rks)
40192,179,,180,2020-09-21,"Motions Taken Under Advisement: [29]   MOTION FOR SUMMARY JUDGMENT.           (nln),(ps)"
46347,37,,38,2020-09-21,"Motions Taken Under Advisement: [9]   Proposed Amended Complaint.           (aom),(ps)"
46608,19,,20,2020-09-21,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (aom),(ps)"
35995,383,,384,2020-09-21,"Motions Taken Under Advisement: [85]   Motion for Matters for Consideration Pursuant to F.R.C.P 16(A)(1)(5); Accord 7. Brief in Opposition not filed by 09/08/2020 deadline.          (rks),(ps)"
43006,166,,167,2020-09-21,"Motions Taken Under Advisement: [39]   Motion to In Opposition to Summary Judgement.           (nln),(ps)"
42363,352,,353,2020-09-21,"Motions Taken Under Advisement: [83]  Order. Defendants did not respond to  respond to plaintiff&#039;s allegations that staff will not e-file his materials by 9/8/2020 deadline.          (rks),(ps)"
44168,64,,65,2020-09-21,Motion Taken Under Advisement: [18]  Notice of Settlement and Stipulation to Stay Deadline.           (voc)
43086,144,,145,2020-09-22,"Motions Taken Under Advisement: [36]   Motion for Opposing Defendants&#039; Amended Expert Witness Disclosure.           (nln),(ps)"
44610,142,,143,2020-09-22,Motions Taken Under Advisement: [39]    Motion for Extension of Time <i>to File Summary Judgment Motions</i>.           (kwf)
46463,40,,41,2020-09-22,"Motions Taken Under Advisement: [2]   Motion for Leave to Proceed in forma pauperis.           (nln),(ps)"
44802,34,,35,2020-09-22,"Motions Taken Under Advisement: [6]   Proposed Amended Complaint.           (aom),(ps)"
44971,112,,113,2020-09-22,"Motions Taken Under Advisement: [20]   Affidavit of William R. Rettko  in Support of Out-of-Pocket Costs Incurred for the Canceled Deposition Scheduled on August 20, 2020. Defendants filed a [22] notice stating no objection.           (kwf)"
45292,85,,86,2020-09-22,"Motions Taken Under Advisement: [17]   Motion to check on status of case .           (aom),(ps)"
44536,203,,204,2020-09-23,Motion Taken Under Advisement: [49]    Motion to Seal <i></i>.           (voc)
44468,88,,89,2020-09-23,Motions Taken Under Advisement: [24]    Stipulation to fees under the EAJA.           (kwf)
45019,97,,98,2020-09-23,"Motions Taken Under Advisement: [25]    Motion for Reconsideration <i>of Decision</i>   re: [23]  Order deciding Social Security Action, [24]  Judgment.           (kwf)"
43123,443,,444,2020-09-23,"Motions Taken Under Advisement: [119]   Motion for Leave to Proceed in forma pauperis on Appeal.           (nln),(ps)"
